Filename,URN,Title,Author,Editor,Publisher,Publication Year,Language,Size,Location,Source
tlg0527.tlg033.1st1K-grc1.xml,urn:cts:greekLit:tlg0527.tlg033.1st1K-grc1,Σοφία Σαλομῶντος,Septuaginta,Henry Barclay Swete D.D.,Cambridge University Press,1896,Greek,165225,data/tlg0527/tlg033,data
tlg0527.tlg058.1st1K-grc1.xml,urn:cts:greekLit:tlg0527.tlg058.1st1K-grc1,Βὴλ καὶ Δράκων,Septuaginta,Henry Barclay Swete D.D.,Cambridge University Press,1905,Greek,18114,data/tlg0527/tlg058,data
tlg0527.tlg056.1st1K-grc1.xml,urn:cts:greekLit:tlg0527.tlg056.1st1K-grc1,Δανιήλ (translatio Graeca),Septuaginta,Henry Barclay Swete D.D.,Cambridge University Press,1905,Greek,195936,data/tlg0527/tlg056,data
tlg0527.tlg056.perseus-eng2.xml,,Daniel,Old Testament,"Rainbow Missions, Inc.","Rainbow Missions, Inc.",2000-2024,English,107985,data/tlg0527/tlg056,data
tlg0527.tlg051.1st1K-grc1.xml,urn:cts:greekLit:tlg0527.tlg051.1st1K-grc1,Θρῆνοι,Septuaginta,Henry Barclay Swete D.D.,Cambridge University Press,1905,Greek,67124,data/tlg0527/tlg051,data
tlg0527.tlg051.perseus-eng2.xml,,Lamentations,Old Testament,"Rainbow Missions, Inc.","Rainbow Missions, Inc.",2000-2024,English,40291,data/tlg0527/tlg051,data
tlg0527.tlg042.1st1K-grc1.xml,urn:cts:greekLit:tlg0527.tlg042.1st1K-grc1,Ναούμ ,Septuaginta,Henry Barclay Swete D.D.,Cambridge University Press,1905,Greek,25569,data/tlg0527/tlg042,data
tlg0527.tlg042.perseus-eng2.xml,,Nahum,Old Testament,"Rainbow Missions, Inc.","Rainbow Missions, Inc.",2000-2024,English,16564,data/tlg0527/tlg042,data
tlg0527.tlg045.perseus-eng2.xml,,Haggai,Old Testament,"Rainbow Missions, Inc.","Rainbow Missions, Inc.",2000-2024,English,15655,data/tlg0527/tlg045,data
tlg0527.tlg045.1st1K-grc1.xml,urn:cts:greekLit:tlg0527.tlg045.1st1K-grc1,Ἀγγαῖος,Septuaginta,Henry Barclay Swete D.D.,Cambridge University Press,1905,Greek,22290,data/tlg0527/tlg045,data
tlg0527.tlg011.perseus-eng2.xml,,I Samuel,Old Testament,"Rainbow Missions, Inc.","Rainbow Missions, Inc.",2000-2024,English,226977,data/tlg0527/tlg011,data
tlg0527.tlg011.1st1K-grc1.xml,urn:cts:greekLit:tlg0527.tlg011.1st1K-grc1,Βασιλειῶν Αʹ,Septuaginta,Henry Barclay Swete,University Press,1901,Greek,369187,data/tlg0527/tlg011,data
tlg0527.tlg016.perseus-eng2.xml,,II Chronicles,Old Testament,"Rainbow Missions, Inc.","Rainbow Missions, Inc.",2000-2024,English,240286,data/tlg0527/tlg016,data
tlg0527.tlg016.1st1K-grc1.xml,urn:cts:greekLit:tlg0527.tlg016.1st1K-grc1,Παραλειπομένων Βʹ,Septuaginta,Henry Barclay Swete D.D.,Cambridge University Press,1896,Greek,368167,data/tlg0527/tlg016,data
tlg0527.tlg029.1st1K-grc1.xml,urn:cts:greekLit:tlg0527.tlg029.1st1K-grc1,Παροιμίαι,Septuaginta,Henry Barclay Swete D.D.,Cambridge University Press,1896,Greek,264713,data/tlg0527/tlg029,data
tlg0527.tlg029.perseus-eng2.xml,,Proverbs,Old Testament,"Rainbow Missions, Inc.","Rainbow Missions, Inc.",2000-2024,English,192660,data/tlg0527/tlg029,data
